,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
592,S(CCN(CC)CC)C1=NC(O)=C(C=2C=CC=CC2)C(O)=N1,5.02704954147339,2879228,pubchem,319.43,6,2,2.9887,True
828,N=1C=2SC=C(C)C2N3C=CC=C3C1OCC4CCN(CC4)CCC,5.02956771850586,CHEMBL470432,chembl20,343.496,5,0,4.35822,True
840,S1C=2N=C(OCC3CCN(CC3)CCC)C=4N(C2C(=C1)C)C=CC4,5.02956771850586,42636941,pubchem,343.496,5,0,4.35822,True
844,OC1=C(/C(=N/C2C(/N=C(/C3=C(O)C=CC=C3)\C)CCCC2)/C)C=CC=C1,5.04307556152344,CHEMBL3190312,chembl20,350.462,4,2,4.7272,True
849,C=1C(=CC=2N=C(C(=CC2C1)O)O)CC,5.04648160934448,CHEMBL445463,chembl20,189.214,3,2,2.2084,True
850,S1C(/C(=N/OCC(=O)N=NC2=C(O)N(CN3CCN(CC3)C)C4=C2C=CC=C4)/C)=CC=C1,5.04648494720459,5347229,pubchem,454.556,9,1,3.6644,True
851,S1C(/C(=N/OCC(=O)N=NC2=C(O)N(CN3CCN(CC3)C)C4=C2C=CC=C4)/C)=CC=C1,5.04648494720459,5347229,pubchem_screening,454.556,9,1,3.6644,True
854,S1/C(/N(/N=C/C=2OC=CC2)C(=C1)C)=N\CC(C)=C,5.04876804351807,6904728,pubchem_screening,261.35,5,0,2.81002,True
857,S1/C(/N(/N=C/C=2OC=CC2)C(=C1)C)=N\CC(C)=C,5.04876804351807,6904728,pubchem,261.35,5,0,2.81002,True
1091,S1/C(/N(/N=C/C=2OC=CC2)C(=C1)C)=N\CC(=C)C,5.04876804351807,CHEMBL3199318,chembl20,261.35,5,0,2.81002,True
1100,ON=CC(=N/N=C/N1CCCCC1)C2=CC=CC=C2,5.04986476898193,11836035,pubchem_screening,258.325,4,1,2.3649,True
1103,ON=CC(=N/N=C/N1CCCCC1)C2=CC=CC=C2,5.04986476898193,11836035,pubchem,258.325,4,1,2.3649,True
1306,O/N=C/C(=N\N=C\N1CCCCC1)/C=2C=CC=CC2,5.04986476898193,CHEMBL3192211,chembl20,258.325,4,1,2.3649,True
1309,S=C(N=C1C(=O)N(N(C1C)C)C2=CC=CC=C2)N=NC=3C4=C(N(C3O)CC(O)=O)C=CC=C4,5.05106496810913,CHEMBL1403504,chembl20,464.507,7,2,3.5232,True
1313,N1(C(SN(C1=O)CC)=N)C2=CC=CC=C2,5.05567979812622,CHEMBL284125,chembl20,221.285,5,1,1.19987,True
1314,N=1C=2C=CSC2N3C=CC=C3C1OCC4CCN(CC4)CCCC,5.05609035491943,CHEMBL471663,chembl20,343.496,5,0,4.4399,True
1320,S1C=2N3C(C(OCC4CCN(CC4)CCCC)=NC2C=C1)=CC=C3,5.05609035491943,44592109,pubchem,343.496,5,0,4.4399,True
1321,S1C(=NC(=C1)CC=NS(O)(O)=CC)C=2C=CC=CC2,5.05734729766846,CHEMBL1545641,chembl20,296.417,5,3,3.6434,True
1326,S(O)(O)(N=CCC=1N=C(SC1)C=2C=CC=CC2)=CC,5.05734729766846,3238598,pubchem_screening,296.417,5,3,3.6434,True
1329,S(O)(O)(N=CCC=1N=C(SC1)C=2C=CC=CC2)=CC,5.05734729766846,3238598,pubchem,296.417,5,3,3.6434,True
1571,OC(=NO)CCC1=CC=2C(C=C1)=CC=CC2,5.05856609344482,13687220,pubchem,215.252,2,2,3.1181,True
1572,C1(=C(C2=CC=CC=C2N1C)C(NCC(O)CO)=O)SSC3=C(C=4C=CC=CC4N3C)C(NCC(O)CO)=O,5.0617356300354,CHEMBL158797,chembl20,558.682,10,6,1.6354,False
1574,O[N+]1(C(C=2C(CC1)=CC(OC)=C(O)C2)CC=3C=CC(O)=CC3)C,5.06379508972168,CHEMBL1388887,chembl20,316.377,4,3,2.7821,True
1576,FC(F)(F)C1=CC(NC(=O)CN2CCC(NC=3N=C(CC)C=C(O)N3)CC2)=CC=C1,5.06599807739258,16668745,pubchem_screening,423.439,6,3,3.2784,True
1577,OC=1N(C(O)=CC1NN2CCCCC2)C3=CC=CC=C3,5.06696701049805,3135047,pubchem_screening,273.336,5,3,2.7013,True
1580,OC=1N(C(O)=CC1NN2CCCCC2)C3=CC=CC=C3,5.06696701049805,3135047,pubchem,273.336,5,3,2.7013,True
1777,OC=1N(C(O)=CC1NN2CCCCC2)C3=CC=CC=C3,5.06696701049805,CHEMBL1311903,chembl20,273.336,5,3,2.7013,True
1784,C1=C(C=NC(OCC2CCN(CC2)CC3=CC=C(C(=C3)OC)OC)=C1)C(=O)/C=N/O,5.06720876693726,CHEMBL3235223,chembl20,413.474,8,1,3.0325,True
1785,C1(=CC=CC(=C1)C=2N=C(SC2)NC=3C=CC(=CC3)CCN4[C@H](C[C@H](CC4)O)CO)C(F)(F)F,5.067955493927,CHEMBL2409886,chembl20,477.552,6,3,4.93260000000001,True
1786,S1C(NC=2C=CC(CCN3[C@H](C[C@@H](O)CC3)CO)=CC2)=NC(C4=CC(=CC=C4)C(F)(F)F)=C1,5.067955493927,71814848,pubchem,477.552,6,3,4.9326,True
1787,C=1C=C2C=C(C=CC2=CC1CCC(N=C3CCC(CC3C(O)=O)CCC)=O)O,5.0682635307312,CHEMBL1086353,chembl20,381.472,3,2,4.74660000000001,True
1788,FC=1C=C(NC2CCN(CC2)CC)C=CC1,5.0682806968689,CHEMBL1306276,chembl20,222.307,2,1,2.7219,True
1793,FC1=CC(NC2CCN(CC2)CC)=CC=C1,5.0682806968689,867433,pubchem_screening,222.307,2,1,2.7219,True
1796,FC1=CC(NC2CCN(CC2)CC)=CC=C1,5.0682806968689,867433,pubchem,222.307,2,1,2.7219,True
1997,OC=1N(C=NC=2C1N=C3C2C=CC=C3)CCCC,5.06859970092773,CHEMBL1555548,chembl20,241.294,4,1,3.0418,True
2002,OC=1N(CCCC)C=NC=2C1N=C3C2C=CC=C3,5.06859970092773,2026791,pubchem_screening,241.294,4,1,3.0418,True
2005,OC=1N(CCCC)C=NC=2C1N=C3C2C=CC=C3,5.06859970092773,2026791,pubchem,241.294,4,1,3.0418,True
2217,O[N+]=1[N+](O)=C(C(=NO)C1C=2C=CC=CC2)CC,5.06878852844238,CHEMBL2140449,chembl20,235.243,4,3,0.888899999999999,True
2218,N=1C2=C(C(=NC1)NC=3C=C(C(=CC3)F)Cl)C=C(S2)NC(CN4CCC(CC4)CCO)=O,5.06999015808106,CHEMBL3233764,chembl20,463.966,7,3,4.2603,True
2219,S1C(N=C2C(=O)N(N(C2C)C)C3=CC=CC=C3)=[N+](C(C4=CC=CC=C4)=C1)CC,5.07144069671631,CHEMBL1426854,chembl20,391.52,4,0,4.0771,True
2226,S1C(=[N+](C(=C1)C2=CC=CC=C2)CC)N=C3C(N(N(C3=O)C4=CC=CC=C4)C)C,5.07144069671631,15945024,pubchem_screening,391.52,4,0,4.0771,True
2229,S1C(=[N+](C(=C1)C2=CC=CC=C2)CC)N=C3C(N(N(C3=O)C4=CC=CC=C4)C)C,5.07144069671631,15945024,pubchem,391.52,4,0,4.0771,True
2433,C=1(C(=CC=C(C1)C(C2=CC=C(C=C2)CN3CCC(CC3)CCO)=O)O)F,5.07220220565796,CHEMBL3237527,chembl20,357.425,4,2,3.3567,True
2434,FC1=CC(C(=O)C=2C=CC(CN3CCC(CC3)CCO)=CC2)=CC=C1O,5.07220220565796,86287985,pubchem,357.425,4,2,3.3567,True
2435,C1=C(CCC(N=C2CCCCC2C(O)=O)=O)C=C3C=CC(=CC3=C1)O,5.07304668426514,CHEMBL482698,chembl20,339.391,3,2,3.7204,True
2436,S1C(N2CCOCC2)=NC(CC(=O)N=NC=3C4=C(N(C3O)CC)C=CC=C4)=C1,5.07421922683716,CHEMBL1343312,chembl20,399.476,8,1,3.5129,True
2440,S1C(N2CCOCC2)=NC(CC(=O)N=NC=3C4=C(N(CC)C3O)C=CC=C4)=C1,5.07421922683716,6025792,pubchem_screening,399.476,8,1,3.5129,True
2443,S1C(N2CCOCC2)=NC(CC(=O)N=NC=3C4=C(N(CC)C3O)C=CC=C4)=C1,5.07421922683716,6025792,pubchem,399.476,8,1,3.5129,True
2641,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CCC3CCCC3)C4=CC(OC)=CC=C4,5.07447481155396,4901854,pubchem_screening,422.572,5,2,4.2072,True
2644,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CCC3CCCC3)C4=CC(OC)=CC=C4,5.07447481155396,4901854,pubchem,422.572,5,2,4.2072,True
2802,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CCC3CCCC3)C4=CC(OC)=CC=C4,5.07447481155396,CHEMBL3190302,chembl20,422.572,5,2,4.2072,True
2805,S(C1=NC=2N(N=CC2C(O)=N1)C3=CC=CC=C3)CCC,5.07483005523682,2152929,pubchem_screening,286.36,6,1,3.0232,True
2808,S(C1=NC=2N(N=CC2C(O)=N1)C3=CC=CC=C3)CCC,5.07483005523682,2152929,pubchem,286.36,6,1,3.0232,True
3044,S(C=1N=C2N(N=CC2=C(O)N1)C3=CC=CC=C3)CCC,5.07483005523682,CHEMBL1408572,chembl20,286.36,6,1,3.0232,True
3050,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)NCC,5.07484579086304,754098,pubchem_screening,290.392,3,1,1.6039,True
3053,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)NCC,5.07484579086304,754098,pubchem,290.392,3,1,1.6039,True
3253,S=C(N=C1C(=O)N(N(C1C)C)C2=CC=CC=C2)NCC,5.07484579086304,CHEMBL1890505,chembl20,290.392,3,1,1.6039,True
3257,C=12N([C@@H]3O[C@H](CO)[C@H](C3)O)C=NC1C(O)=NC(=N2)NC=4C=CC(=CC4)CCCC,5.07647657394409,CHEMBL2115349,chembl20,399.451,9,4,2.2588,True
3258,OC=1N(C=NC=2C1N=C3C2C=CC=C3)CCN4C(CCCC4)C,5.07691669464111,CHEMBL1549181,chembl20,310.401,5,1,3.1161,True
3262,OC=1N(CCN2C(CCCC2)C)C=NC=3C1N=C4C3C=CC=C4,5.07691669464111,5307962,pubchem_screening,310.401,5,1,3.1161,True
3265,OC=1N(CCN2C(CCCC2)C)C=NC=3C1N=C4C3C=CC=C4,5.07691669464111,5307962,pubchem,310.401,5,1,3.1161,True
3503,FC(F)(F)C=1C(NC(=O)CN2CCC(NC=3N=C(CC)C=C(O)N3)CC2)=CC=CC1,5.07699823379517,16675284,pubchem_screening,423.439,6,3,3.2784,True
3504,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)C3CCCCC3)C4=CC(OC)=CC=C4,5.07809829711914,4900809,pubchem_screening,408.545,5,2,3.8171,True
3507,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)C3CCCCC3)C4=CC(OC)=CC=C4,5.07809829711914,4900809,pubchem,408.545,5,2,3.8171,True
3662,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)C3CCCCC3)C4=CC(OC)=CC=C4,5.07809829711914,CHEMBL3212369,chembl20,408.545,5,2,3.8171,True
3667,[C@@H]1(CCCC[C@H]1N=C(O)C2=CN=C(C=C2)CN3C4=C(N=C3C)C=CC=C4)C(O)=NO,5.07835388183594,CHEMBL1835557,chembl20,407.474,6,3,3.99712,True
3668,C1=C(C=NC(OCC2CCN(CC2)CC3=CC=C(C(=C3)F)F)=C1)C(=O)/C=N/O,5.07844877243042,CHEMBL3235224,chembl20,389.402,6,1,3.2935,True
3669,S=C(N=C1C(N(N(C1=C)C2=CC=CC=C2)C)C)NCC(C)=C,5.07854175567627,5343346,pubchem,314.458,3,1,3.1472,True
3670,S=C(N=C1C(N(N(C1=C)C2=CC=CC=C2)C)C)NCC(C)=C,5.07854175567627,5343346,pubchem_screening,314.458,3,1,3.1472,True
3673,S1C=2C(N(C3=CC=CC=C3)C1=S)=NC(SCC(=O)N(CC)CC)=NC2O,5.07858276367188,4200777,pubchem_screening,406.558,8,1,3.87759,True
3676,S1C=2C(N(C3=CC=CC=C3)C1=S)=NC(SCC(=O)N(CC)CC)=NC2O,5.07858276367188,4200777,pubchem,406.558,8,1,3.87759,True
3876,S1C=2C(N(C1=S)C3=CC=CC=C3)=NC(SCC(=O)N(CC)CC)=NC2O,5.07858276367188,CHEMBL1311799,chembl20,406.558,8,1,3.87759,True
3880,O[N+]=1C=CC=C(/N=N/N(CC)CC)C1,5.07960224151611,53299371,pubchem_screening,195.246,3,1,1.5519,True
3882,O[N+]=1C=CC=C(/N=N/N(CC)CC)C1,5.07960224151611,53299371,pubchem,195.246,3,1,1.5519,True
3929,C1=2C(N(CC(N=N#N)C(O)CO)C=N1)=NC=NC2O,5.0798134803772,CHEMBL82233,chembl20,265.233,8,3,-0.436,True
3930,OC1=NC(=NC2=C1C=CC=C2)C(CC)CC,5.08036184310913,720665,pubchem_screening,216.284,3,1,3.239,True
3933,OC1=NC(=NC2=C1C=CC=C2)C(CC)CC,5.08036184310913,720665,pubchem,216.284,3,1,3.239,True
4133,OC1=NC(=NC2=C1C=CC=C2)C(CC)CC,5.08036184310913,CHEMBL1716838,chembl20,216.284,3,1,3.239,True
4136,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)C=3N=C(O)C(CC)=C(O)N3,5.08172988891602,3529049,pubchem_screening,345.38,8,4,2.8033,True
4139,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)C=3N=C(O)C(CC)=C(O)N3,5.08172988891602,3529049,pubchem,345.38,8,4,2.8033,True
4353,S(C1=C(O)N(C(O)=C1)C2=CC=CC=C2)C=3N=C(O)C(=C(O)N3)CC,5.08172988891602,CHEMBL1586737,chembl20,345.38,8,4,2.8033,True
4356,OC(=NO)C=1C=CC(CN2C3=C(CN(CC3)C)C=4C2=CC=CC4)=CC1,5.08347654342651,49850262,pubchem,335.407,4,2,3.3713,True
4359,C1=CC=C2C=3CN(CCC3N(CC=4C=CC(=CC4)C(=NO)O)C2=C1)C,5.08347654342651,CHEMBL2018302,chembl20,335.407,4,2,3.3713,True
4365,O=C1N(N(C(C1=NC(=O)C2=NN(C(=O)C3=C2C=CC=C3)CCCC)C)C)C4=CC=CC=C4,5.0836386680603,CHEMBL1433602,chembl20,431.496,6,0,3.0599,True
4366,O=C1N(N(C(C1=NC(=O)C2=NN(CCCC)C(=O)C3=C2C=CC=C3)C)C)C4=CC=CC=C4,5.0836386680603,4802979,pubchem_screening,431.496,6,0,3.0599,True
4369,O=C1N(N(C(C1=NC(=O)C2=NN(CCCC)C(=O)C3=C2C=CC=C3)C)C)C4=CC=CC=C4,5.0836386680603,4802979,pubchem,431.496,6,0,3.0599,True
4495,S1C(N2N=C(C(C=NCCCN(CC)CC)=C2O)C=3C=CC=CC3)=NC=4C1=CC=CC4,5.08365440368652,5726289,pubchem_screening,433.581,7,1,5.0054,False
4498,S1C(N2N=C(C(C=NCCCN(CC)CC)=C2O)C=3C=CC=CC3)=NC=4C1=CC=CC4,5.08365440368652,5726289,pubchem,433.581,7,1,5.0054,False
4682,S1C(N2N=C(C(=C2O)/C=N/CCCN(CC)CC)C=3C=CC=CC3)=NC=4C1=CC=CC4,5.08365440368652,CHEMBL3195661,chembl20,433.581,7,1,5.0054,False
4687,OC1=C(C(N[C@H]2[C@H](N=C(C3=C(O)C=CC=C3)C)CCCC2)=C)C=CC=C1,5.08470678329468,15945781,pubchem_screening,350.462,4,3,4.4785,True
4690,OC1=C(C(N[C@H]2[C@H](N=C(C3=C(O)C=CC=C3)C)CCCC2)=C)C=CC=C1,5.08470678329468,15945781,pubchem,350.462,4,3,4.4785,True
4899,OC(N[C@@H](CCCN=C(N)N)C(=O)N)C(CC1=CC=2C(C=C1)=CC=CC2)=CC(O)=NO,5.08485317230225,71601335,pubchem,428.493,6,7,0.469900000000002,False
4900,C1=2C(N=CN1CC(N=N#N)C(O)CO)=C(O)N=C(N2)N,5.085373878479,CHEMBL81308,chembl20,280.248,9,4,-0.8538,True
4901,OC=1C(=CC2=C(C1)C=CC=C2)C(O)=NO,5.08559989929199,5272734,pubchem,203.197,3,3,2.2392,True
4902,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)/C(/NCC)=N/CC,5.08604049682617,2833588,pubchem_screening,305.403,5,3,2.966,True
4905,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)/C(/NCC)=N/CC,5.08604049682617,2833588,pubchem,305.403,5,3,2.966,True
5148,S1C(NC=2C=CC(CCN3[C@H](C[C@@H](O)CC3)CO)=CC2)=NC(C4=CC(F)=CC=C4)=C1,5.0885009765625,71814678,pubchem,427.545,6,3,4.0529,True
5149,S(C=1C=CC(N=NC2=C(O)N=C(O)N=C2O)=CC1)C(F)F,5.08858299255371,5665668,pubchem_screening,314.273,8,3,3.3235,True
5152,S(C=1C=CC(N=NC2=C(O)N=C(O)N=C2O)=CC1)C(F)F,5.08858299255371,5665668,pubchem,314.273,8,3,3.3235,True
5332,S(C=1C=CC(N=NC2=C(O)N=C(O)N=C2O)=CC1)C(F)F,5.08858299255371,CHEMBL1491795,chembl20,314.273,8,3,3.3235,True
5341,C(O)C1CCN(CC1)CCCOC2=C(C=C3C(=NC=NC3=C2)NC=4SC(=CN4)SCC=5C=C(C=CC5)F)OC,5.08865594863892,CHEMBL201953,chembl20,569.728,10,2,5.74310000000001,False
5342,OC=1N(CCN(CC)CC)C=NC=2C1N=C3C2C(OC)=CC=C3,5.08926105499268,664500,pubchem_screening,314.389,6,1,2.5921,True
5345,OC=1N(CCN(CC)CC)C=NC=2C1N=C3C2C(OC)=CC=C3,5.08926105499268,664500,pubchem,314.389,6,1,2.5921,True
5584,O(C=1C2=C3N=CN(C(O)=C3N=C2C=CC1)CCN(CC)CC)C,5.08926105499268,CHEMBL1388151,chembl20,314.389,6,1,2.5921,True
5588,O=C1N(N(C(C1=NC(=O)CC)C)C)C2=CC=CC=C2,5.08963823318481,203248,pubchem,259.309,3,0,1.6461,True
5589,O=C1N(N(C(C1=NC(=O)CC)C)C)C2=CC=CC=C2,5.08963823318481,203248,pubchem_screening,259.309,3,0,1.6461,True
5592,O=C1N(N(C(C1=NC(=O)CCC)C)C)C2=CC=CC=C2,5.0898060798645,20464,pubchem,273.336,3,0,2.0362,True
5593,O=C1N(N(C(C1=NC(=O)CCC)C)C)C2=CC=CC=C2,5.0898060798645,20464,pubchem_screening,273.336,3,0,2.0362,True
5596,BrC=1C=C2C(N=NC(S)=NC=3C(=O)N(N(C3C)C)C4=CC=CC=C4)=C(O)NC2=CC1,5.08994197845459,CHEMBL1599937,chembl20,485.367,6,3,5.13502,False
5609,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)N(CC)CC,5.08996391296387,761224,pubchem_screening,318.446,3,0,2.3362,True
5612,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)N(CC)CC,5.08996391296387,761224,pubchem,318.446,3,0,2.3362,True
5817,S=C(N=C1C(=O)N(N(C1C)C)C2=CC=CC=C2)N(CC)CC,5.08996391296387,CHEMBL1891925,chembl20,318.446,3,0,2.3362,True
5819,S(C1=NC=2N(C=3C(C2N=N1)=CC=CC3)CCC)CC(=O)N=C4C(N(N(C4=O)C5=CC=CC=C5)C)C,5.09072303771973,6418022,pubchem_screening,487.589,8,0,3.7313,True
5822,S(C1=NC=2N(C=3C(C2N=N1)=CC=CC3)CCC)CC(=O)N=C4C(N(N(C4=O)C5=CC=CC=C5)C)C,5.09072303771973,6418022,pubchem,487.589,8,0,3.7313,True
6025,S(C=1N=C2N(C3=C(C2=NN1)C=CC=C3)CCC)CC(=O)N=C4C(=O)N(N(C4C)C)C5=CC=CC=C5,5.09072303771973,CHEMBL1323796,chembl20,487.589,8,0,3.7313,True
6029,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=C(OC)C=C4,5.09113931655884,3237826,pubchem_screening,326.4,6,1,3.0822,True
6032,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=C(OC)C=C4,5.09113931655884,3237826,pubchem,326.4,6,1,3.0822,True
6271,OC=1N(C=NC=2C1N=C3C2C=C(OC)C=C3)CN4C(CCC4)CC,5.09113931655884,CHEMBL1509001,chembl20,326.4,6,1,3.0822,True
6278,S=C(N=C1C(=O)N(N(C1C)C)C2=CC=CC=C2)N/N=C\C3=C(O)C=CC=C3,5.09115600585938,CHEMBL3196751,chembl20,381.461,5,2,2.3237,True
6290,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)NN=CC3=C(O)C=CC=C3,5.09115600585938,5501075,pubchem_screening,381.461,5,2,2.3237,True
6293,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)NN=CC3=C(O)C=CC=C3,5.09115600585938,5501075,pubchem,381.461,5,2,2.3237,True
6498,SC(=NC=1C(=O)N(N(C1C)C)C2=CC=CC=C2)N=NC=3C=4C(NC3O)=CC=CC4,5.09177303314209,CHEMBL1406092,chembl20,406.471,6,3,4.37252,True
6504,S1C(O)=C(C(O)=C1)/C(=N/C=2C=CC=CC2)/C,5.09366893768311,CHEMBL3190409,chembl20,233.292,4,2,3.3,True
6513,S1C=C(O)C(C(=NC=2C=CC=CC2)C)=C1O,5.09366893768311,788505,pubchem_screening,233.292,4,2,3.3,True
6516,S1C=C(O)C(C(=NC=2C=CC=CC2)C)=C1O,5.09366893768311,788505,pubchem,233.292,4,2,3.3,True
6722,FC(F)(F)C=1N(CC=2N=CC(C(=O)N[C@H]3[C@H](CCCC3)C(O)=NO)=CC2)C=4C(N1)=CC=CC4,5.09367990493774,56661881,pubchem,461.444,6,3,4.1327,True
6723,C1=CC=2N=NN(C=3C=C(OC(F)(F)F)C=CC3)C2N=C1NCC4CCN(CC4)CC,5.0939564704895,CHEMBL1952114,chembl20,420.439,7,1,3.8579,True
6724,C1=C(Cl)C(=NC(NC2CCN(C(=O)NCC)CC2)=N1)N3C4=C(C=C3)C=CC=C4,5.09469985961914,CHEMBL245925,chembl20,398.898,5,2,3.6797,True
6727,C1=CC=C2C(=C1)C=3C(C(=N2)OCC4CCN(CC4)CCC5=CC=C(C=C5)CO)=CN(C3)C,5.09477281570435,CHEMBL2179672,chembl20,429.564,5,1,4.5523,True
6729,O(CC1CCN(CC1)CCC2=CC=C(C=C2)CO)C3=NC=4C(C=5C3=CN(C5)C)=CC=CC4,5.09477281570435,44628201,pubchem,429.564,5,1,4.5523,True
6730,OC=1N(CN2CCN(CC2)C)C3=C(C1N=NC(=O)C=4C=CC=CC4)C=CC=C3,5.09481287002564,5347246,pubchem,377.448,6,1,3.4759,True
6731,OC=1N(CN2CCN(CC2)C)C3=C(C1N=NC(=O)C=4C=CC=CC4)C=CC=C3,5.09481287002564,5347246,pubchem_screening,377.448,6,1,3.4759,True
6734,S1C(N=C2C(=O)N(N(C2C)C)C3=CC=CC=C3)=NC(=C1)CC(OCC)=O,5.09534883499146,CHEMBL1612164,chembl20,372.45,7,0,2.6033,True
6736,S1C(N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=NC(CC(OCC)=O)=C1,5.09534883499146,1528719,pubchem_screening,372.45,7,0,2.6033,True
6739,S1C(N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=NC(CC(OCC)=O)=C1,5.09534883499146,1528719,pubchem,372.45,7,0,2.6033,True
6980,S1C(NC2=NC=NC3=CC(OCCCN4CCC(CC4)CO)=C(OC)C=C32)=NC=C1CC(=O)NC=5C=C(F)C=CC5,5.09625196456909,9916282,pubchem,580.686,10,3,4.632,False
6981,C1(OC)=C(C=C2C(C(=NC=N2)NC=3SC(=CN3)CC(NC=4C=C(C=CC4)F)=O)=C1)OCCCN5CCC(CC5)CO,5.09625196456909,CHEMBL201307,chembl20,580.686,10,3,4.632,False
6990,OC(=NO)C=1C=CC(CN2C3=C(CN(CC3)CC)C=4C2=CC=CC4)=CC1,5.09701204299927,50898757,pubchem,349.434,4,2,3.7614,True
6991,C1=CC=C2C3=C(N(CC=4C=CC(=CC4)C(=NO)O)C2=C1)CCN(C3)CC,5.09701204299927,CHEMBL2018305,chembl20,349.434,4,2,3.7614,True
6992,S=1(O)(O)=CC(N(C(=O)CSC=2N=C3N(N=CC3=C(O)N2)C4=CC=CC=C4)CC)CC1,5.09705352783203,CHEMBL1904576,chembl20,447.542,9,3,2.589,True
6995,S=1(O)(O)=CC(N(CC)C(=O)CSC2=NC=3N(N=CC3C(O)=N2)C4=CC=CC=C4)CC1,5.09705352783203,4840597,pubchem_screening,447.542,9,3,2.589,True
6998,S=1(O)(O)=CC(N(CC)C(=O)CSC2=NC=3N(N=CC3C(O)=N2)C4=CC=CC=C4)CC1,5.09705352783203,4840597,pubchem,447.542,9,3,2.589,True
