Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CUHSWRCFUZEEGS-UHFFFAOYNA-N,CHEMBL1222135,3362,A,7.57,chembl20,651485,9606,HTR6,2105,N(C(C)C)(S(=O)(C=1C=C2C(C=CC=C2)=CC1)=O)C3=CC=C(C=C3)N4CCN(CC4)C
CULSPSVPJXBZMJ-UHFFFAOYNA-N,CHEMBL2207388,3362,A,8.49,chembl20,886900,9606,HTR6,2105,C1=CC=C2C(=C1CN3CCN(CC3)C)C=CN2S(C4=CC=CC=C4)(=O)=O
CUNIDKSASOTBGS-UHFFFAOYNA-N,CHEMBL3290010,3362,A,7.89,chembl20,1366806,9606,HTR6,2105,S(=O)(=O)(NCCCCN1CCC(CC1)C2=NOC=3C2=CC=C(C3)F)C=4C5=C(SC4)C=CC=C5
CUOBXOYPSPRZOA-QWOVJGMINA-N,24763354,3362,A,7.30103,pubchem,599941,9606,HTR6,2105,S(=O)(=O)(C1=CC2=C(NN=C2C=C1)C3CCN(CC3)C)C=4C=C(C=CC4)C
CURUTKGFNZGFSE-UHFFFAOYNA-N,CHEMBL1123,3362,A,5.85,chembl20,774719,9606,HTR6,2105,C1(C(=O)OCCN(CC)CC)(C2CCCCC2)CCCCC1
CURVYUKPRFQCTB-LQFNOIFHNA-N,CHEMBL1170281,3362,A,6.23,chembl20,642499,9606,HTR6,2105,N=1C=2N(C3=C(C1NC=4C=CC=C(C4)C)SC=C3)N=NC2S(C5=CC=C(C=C5)C(C)C)(=O)=O
CVYWFPZSGMNWAR-LQFNOIFHNA-N,25123012,3362,A,7.28651,pubchem,459343,9606,HTR6,2105,S(=O)(=O)(C=1NN=C2C1C=C(N3CCC(N)CC3)C=C2)C4=CC=C(C(C)C)C=C4
CVYWFPZSGMNWAR-MPIMZMORNA-N,CHEMBL606401,3362,A,7.88,chembl20,610399,9606,HTR6,2105,C=1(C=CC=2NN=C(C2C1)S(=O)(=O)C3=CC=C(C=C3)C(C)C)N4CCC(CC4)N
CWBIPQBBUVOYGP-UHFFFAOYNA-N,CHEMBL2165519,3362,A,9.0,chembl20,861072,9606,HTR6,2105,O=S(=O)(N1C2=CC=C3C(=C2C=C1)CC(CC3)N(C)C)C4=CC=CC=C4
CWEKNSLCAWLROJ-UHFFFAOYNA-N,53326175,3362,A,8.42022,pubchem,568359,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)C2=C3N(N=C2SC)C(=CC(=N3)C)C)C=CC1F
CWHCBHFBRORBJX-HCKMINDGNA-N,44156626,3362,A,9.73049,pubchem,568359,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)C2=C3N(N=C2NC)C(=CC(=N3)C)C)C=CC1
CWQTXKTYLNBFFC-BUDVQIAPNA-N,CHEMBL180086,3362,A,6.42,chembl20,302552,9606,HTR6,2105,C1(=NC(NCCC=2SC=CC2)=NC(=N1)N)NC(C3=CC=C(C=C3)F)C
CVCSNDQLVPCGPD-LNNLXFCONA-N,CHEMBL1170890,3362,A,6.17,chembl20,642499,9606,HTR6,2105,N=1C=2N(C3=C(C1NC(CC4=CC=CC=C4)C)SC=C3)N=NC2S(=O)(=O)C5=CC=C(C(=C5)C)C
CVOCUWUCOKQWOH-UHFFFAOYNA-N,57391157,3362,A,5.18389,pubchem,646449,9606,HTR6,2105,ClC1=CC=C(N2CCN(CC2)CCCNS(=O)(=O)C3=CC=4C(N=C3)=CC=CC4)C=C1
CQXYWESYPIIXHT-ICSRJNTNNA-N,57391619,3362,A,6.25026,pubchem,647180,9606,HTR6,2105,S(=O)(=O)(C1=CC=2O[C@@H]3[C@@H](CCNC3)C2C=C1)C=4C=C(OCCOC)C=CC4
CRLLHMPHLWYGAK-UHFFFAOYNA-N,CHEMBL1785070,3362,A,8.59,chembl20,750637,9606,HTR6,2105,C1NCCN(C1)CC2=CC=C3N(C=C(C3=C2)Cl)S(C4=CC=C(C=C4)F)(=O)=O
CRNJIXJRSKNGTP-UHFFFAOYNA-N,CHEMBL247281,3362,A,5.09,chembl20,454158,9606,HTR6,2105,N1(C=CC2=C1C=CC=C2)CC=3C=CC(=CC3)N
YWSGCZJPNJQWOG-UHFFFAOYNA-N,44433196,3362,A,9.1549,pubchem,300690,9606,HTR6,2105,ClC1=NC2SC=CN2C1S(=O)(=O)C3=CN(C4CCCNC4)C5=NC=CC=C35
CSFWZQBUTIOBRQ-UHFFFAOYNA-N,10246185,3362,A,7.284,pubchem,1067106,9606,HTR6,2105,S(=O)(=O)(C=1C(=O)N2C(=NC1SC)C=CC=C2)C3=CC=CC=C3
CTCLQOSVYZEXJP-UHFFFAOYNA-N,CHEMBL359967,3362,A,7.34,chembl20,303107,9606,HTR6,2105,C=1(S(=O)(=O)C2=CC=CC=C2)C=3C(=CC(=CC3)F)N(C1)CCN(C)C
CTETYYAZBPJBHE-UHFFFAOYNA-N,CHEMBL1289,3362,A,5.73,chembl20,774719,9606,HTR6,2105,C(#CI)COC=1C=C(Cl)C(=CC1Cl)Cl
CTQZYHBDQGUTCI-UHFFFAOYNA-N,CHEMBL193637,3362,A,5.35,chembl20,303713,9606,HTR6,2105,C1(C=CC=2C1=CC=CC2)CC3=CC=C(C=C3)N
CYCVOKMNEFWIOD-UYBDAZJANA-N,20901125,3362,A,6.30103,pubchem,492092,9606,HTR6,2105,S(=O)(=O)(C=1N=NN2C1N=C(NCC=3OC=CC3)C=4SC=CC24)C5=CC=C(C=C5)C
CYKJYRMLQDBGCW-UHFFFAOYNA-N,9802776,3362,A,9.22185,pubchem,6522,9606,HTR6,2105,S(=O)(=O)(N1C=2C=C(C3CC4N(CC3)CCC4)C=CC2C=C1)C=5C=6C(C=CC5)=CC=CC6
CYOVOZKUTSWUJD-UHFFFAOYNA-N,CHEMBL2376482,3362,A,8.57,chembl20,955725,9606,HTR6,2105,C=1(C=CC2=C(C1)C(=C(N2)C)C=3CCNCC3)Br
AOLVVPXTTFBZPG-INIZCTEONA-N,CHEMBL194834,3362,A,7.31,chembl20,320876,9606,HTR6,2105,S(N1C=C(C[C@H]2NCCC2)C=3C1=CC=CC3)(C4=CC=C(C=C4)Cl)(=O)=O
AOQRGRBHHLFOEW-UHFFFAOYNA-N,CHEMBL435126,3362,A,7.4,chembl20,321432,9606,HTR6,2105,C1(=C(NC=2C1=CC(=CC2)Cl)CCC)C3=CCNCC3
APCNGAWYYLDWOF-GPQMBLKYNA-N,CHEMBL1173211,3362,A,8.02,chembl20,642498,9606,HTR6,2105,N1=C(C=2SC=CC2N3C1=C(N=N3)S(C4=CC=CC=C4)(=O)=O)NC(C)CC
AQNZXINGTMSAJY-UHFFFAOYNA-N,46880607,3362,A,8.25181,pubchem,465713,9606,HTR6,2105,S(=O)(=O)(C1=CN(C2CCCNC2)C=3C1=CC=CC3)C4=C5N=CC=CC5=CC=C4
AJEWXUIXKDZAJB-UHFFFAOYNA-N,46880759,3362,A,8.55284,pubchem,465713,9606,HTR6,2105,S(=O)(=O)(C1=CN(C2CCN(C2)C)C=3C1=CC=CC3)C4=C5N=CC=CC5=CC=C4
AJFCFFCXDVYDDM-UHFFFAOYNA-N,49781036,3362,A,6.13018,pubchem,517721,9606,HTR6,2105,ClC1=CC=2C(=C(S(=O)(=O)NC=3C=C(N4CCNCC4)C(OCCCCCCCCNS(=O)(=O)C=5C6=C(C(N(C)C)=CC=C6)C=CC5)=CC3)SC2C=C1)C
AJHPZVCDJLLSRJ-UHFFFAOYNA-N,CHEMBL75029,3362,A,7.35,chembl20,3621,9606,HTR6,2105,N1(S(C2=CC=C(C=C2)Cl)(=O)=O)C3=C(C=CC=C3OC)C(=C1)CCN(C)C
AJIIMRANVHWEGL-HEGJIAMLNA-N,CHEMBL1834347,3362,A,8.2,chembl20,771218,9606,HTR6,2105,C1C2(CCC1)C=NN(C2)/C(=N/S(=O)(C=3C=C(C=CC3)Cl)=O)/NCC
AJIIMRANVHWEGL-YWFSPISDNA-N,56593931,3362,A,8.19997,pubchem,621207,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)N/C(/N2N=CC3(CCCC3)C2)=N/CC)C=CC1
AJQQBSCDJFVVMQ-UHFFFAOYNA-N,CHEMBL1642428,3362,A,7.26,chembl20,699426,9606,HTR6,2105,C=1C=C(S(N2C=C(N3CCN(CC3)C)C4=C2C=C(C=C4)Cl)(=O)=O)C=CC1C(C)C
AJRQMVCEFKRUBB-UHFFFAOYNA-N,CHEMBL2159481,3362,A,6.49,chembl20,855540,9606,HTR6,2105,C=1(C=CC(=C(C1)F)F)S(=O)(NC2CN(CC2)CCOC=3C=CC=CC3C4=CC=CC=C4)=O
ARVCFMJELQIOOU-VFBHPLNPNA-N,56593932,3362,A,8.40012,pubchem,621207,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)N/C(/N2N=CC3(CCCCC3)C2)=N/CC)C=CC1
ARVCFMJELQIOOU-XASSNQKRNA-N,CHEMBL1834348,3362,A,8.4,chembl20,771218,9606,HTR6,2105,C12(CCCCC1)C=NN(C2)/C(=N/S(=O)(C=3C=C(C=CC3)Cl)=O)/NCC
ARWQQHFFCBOLCO-UHFFFAOYNA-N,CHEMBL495250,3362,A,5.16,chembl20,556692,9606,HTR6,2105,C1CN(CCN1CCC(NS(C2=CC=C(C=C2)OC)(=O)=O)C)C3=CC=CC(=C3)C(F)(F)F
ASKBSODPKRADGV-UHFFFAOYNA-N,CHEMBL393997,3362,A,8.89,chembl20,659849,9606,HTR6,2105,C=1C=CC=2C(=CN(C3CNCCC3)C2N1)S(=O)(=O)C4=CC(=CC=C4)Cl
ASMBQCAYRRHYLW-UHFFFAOYNA-N,CHEMBL157285,3362,A,8.4,chembl20,3647,9606,HTR6,2105,S(N1C=2C(=CC(=CC2)I)CC1)(C=3C=C(N4CCNCC4)C(=CC3)OC)(=O)=O
ANKIDBINXHGJGY-UHFFFAOYNA-N,CHEMBL1081793,3362,A,7.8,chembl20,616576,9606,HTR6,2105,C=1C=C2N(C3CN(CCC3)CC)C=C(S(C4=CC=CC(=C4)F)(=O)=O)C2=CC1OC
ANYKODWBPXLFBZ-PWVYYBPSNA-N,CHEMBL493,3362,A,8.0,chembl20,774719,9606,HTR6,2105,N12[C@@](O[C@](C1=O)(NC([C@@H]3CC=4C=5C6=C(NC(=C6CC4N(C3)C)Br)C=CC5)=O)C(C)C)([C@@H]7CCCN7C([C@@H]2CC(C)C)=O)O
AOAFAFLOTNULTE-JJFURXLTNA-N,53319476,3362,A,7.55284,pubchem,550750,9606,HTR6,2105,S(=O)(=O)(C=1NN=C2C(NC(=O)C3CCNCC3)=CC=CC21)C=4C=5C(C=CC4)=CC=CC5
AOAFAFLOTNULTE-SPEPDGBUNA-N,CHEMBL1642876,3362,A,7.55,chembl20,699278,9606,HTR6,2105,C(C1CCNCC1)(=O)NC=2C=CC=C3C2NN=C3S(=O)(=O)C4=CC=CC=5C4=CC=CC5
AOCRQCFKVGZSSD-UHFFFAOYNA-N,CHEMBL3260801,3362,A,7.33,chembl20,1351439,9606,HTR6,2105,C12=CC=C(N3CC(OC3=O)C=4C=CC=CC4Cl)C=C1CCNCC2
AODZKPOTUZKQMH-UHFFFAOYNA-N,9998950,3362,A,7.55284,pubchem,1067106,9606,HTR6,2105,ClC1=CN2C(=N)C(S(=O)(=O)C3=CC=CC=C3)=C(SC)N=C2C=C1
AKHFOAQLUXPFBJ-AWIDAIFANA-N,11595360,3362,A,9.80134,pubchem,484646,9606,HTR6,2105,S(=O)(=O)(C1=CC2=C(C(CCC2)CN=C(N)N)C=C1)C3=CC=CC=C3
AKLPJZCEMGVEQJ-UHFFFAOYNA-N,CHEMBL1642413,3362,A,7.93,chembl20,699426,9606,HTR6,2105,C=1C=C(S(N2C=C(N3CCN(CC3)C)C=4C=CC=CC24)(=O)=O)C=CC1F
AKYBXIOZAWNEGP-HCKMINDGNA-N,52918032,3362,A,9.57025,pubchem,568359,9606,HTR6,2105,S(=O)(=O)(C1=C2N(N=C1NC)C(=CC(=N2)COC)C)C3=CC=CC=C3
ALMBNZHSWURVRM-UHFFFAOYNA-N,CHEMBL2159476,3362,A,6.02,chembl20,855540,9606,HTR6,2105,S1C(=CC=C1S(NC2CN(CC2)CCOC3=CC=CC=C3)(=O)=O)Cl
ALROIZLRKPMQIR-UHFFFAOYNA-N,23652788,3362,A,7.9914,pubchem,550898,9606,HTR6,2105,BrC1=CC=2C(N3CCN(CC3)C)=CN(S(=O)(=O)C=4C(Br)=CC=CC4)C2C=C1
ALWRRUFJVQDOPL-UHFFFAOYNA-N,CHEMBL2165557,3362,A,8.23,chembl20,861074,9606,HTR6,2105,O=S(=O)(N1C2=CC=C(C=C2C3=C1CCC(C3)N(C)C)OC)C4=CC=C(C=C4)C
APRTUXPAFSNIOL-UHFFFAOYNA-N,2162,3362,A,5.5379,pubchem,625221,9606,HTR6,2105,ClC=1C(C2C(C(=NC(=C2C(OC)=O)C)COCCN)C(OCC)=O)=CC=CC1
APYJLIWKKMRCGM-UHFFFAOYNA-N,CHEMBL253397,3362,A,7.05,chembl20,461019,9606,HTR6,2105,C1=CC=C2C(=C1)C(CCN(C)C)=CN2SC3=CC=CC=C3
APZPEQGMHIRRFU-FFCHWRGWNA-N,CHEMBL578631,3362,A,8.59,chembl20,589212,9606,HTR6,2105,C1=C(NS(=O)(=O)C2=C(N=C3N2C=CS3)Cl)C=C4CC/C(=N\N=C(N)N)/C4=C1
AQDSKRXMNKMXJE-UHFFFAOYNA-N,44435608,3362,A,8.82391,pubchem,300690,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)C2=CN(C3CCNC3)C4=NC=CC=C42)C=CC1
AMYPFPOCEWHTIS-UHFFFAOYNA-N,53321318,3362,A,6.78252,pubchem,550980,9606,HTR6,2105,S(=O)(=O)(N1C=2C(C(=O)CC1)=CC(OC)=C(N3CCN(CC3)C)C2)C4=CC=5C(C=C4)=CC=CC5
AIHYRVVMMSIZRM-UHFFFAOYNA-N,10017687,3362,A,7.60206,pubchem,447580,9606,HTR6,2105,S(=O)(=O)(C=1C=2C(N(C1)CCN)=CC=CC2)C3=CC=CC=C3
AIJIQCBYMBZLJD-UHFFFAOYNA-N,CHEMBL76237,3362,A,8.88,chembl20,3668,9606,HTR6,2105,C1(=CC=C2N(S(C3=CC=CC=C3)(=O)=O)C=C(CCN(C)C)C2=C1)OC
DIAAQWWFDMJHFA-QWOVJGMINA-N,16019548,3362,A,5.93181,pubchem,492092,9606,HTR6,2105,ClC1=CC=C(CNC2=NC=3N(N=NC3S(=O)(=O)C4=CC=CC=C4)C5=C2SC=C5)C=C1
DIADRQFTBQHTTO-UHFFFAOYNA-N,CHEMBL1642429,3362,A,7.2,chembl20,699426,9606,HTR6,2105,C=1(C=C(C(=CC1)OC)S(N2C=C(N3CCN(CC3)CC)C4=C2C=C(C=C4)Cl)(=O)=O)OC
DIBPTWMSVTXGKP-FPOVZHCZNA-N,CHEMBL1949930,3362,A,8.4,chembl20,804628,9606,HTR6,2105,O=S(C1=CC=C2[C@H]3[C@H](CNCC3)OC2=C1)(=O)C4=CC(=CC(=C4)OC)OC(C)C
DIBPTWMSVTXGKP-FPOVZHCZNA-N,CHEMBL1949930,64354,A,7.57,chembl20,804629,10116,HTR6,2105,O=S(C1=CC=C2[C@H]3[C@H](CNCC3)OC2=C1)(=O)C4=CC(=CC(=C4)OC)OC(C)C
DICDOOGFHQRKKL-UHFFFAOYNA-N,44224259,3362,A,5.22257,pubchem,600301,9606,HTR6,2105,N1(C2=C(CN(CC2)C)C=3C1=CC=CC3)CCC4=CC=CN=C4
DICDWWQEBHMZRO-UHFFFAOYNA-N,25024731,3362,A,8.38091,pubchem,600486,9606,HTR6,2105,ClC=1C2=C(N(S(=O)(=O)C=3C=C(C=CC3Cl)C(F)(F)F)C1)C=CC(CN4CCN(CC4)C)=C2
DINGNQHSPYGDJO-UHFFFAOYNA-N,45113656,3362,A,8.24413,pubchem,476927,9606,HTR6,2105,S(=O)(=O)(C1=CC=2C3=C(N(C2C=C1)C)CCN(C3)C)C4=CC=CC=C4
DIZUUMPJYCDOHV-UHFFFAOYNA-N,23652993,3362,A,7.6925,pubchem,550898,9606,HTR6,2105,BrC=1C(S(=O)(=O)N2C3=C(C(N4CCN(CC4)CC)=C2)C=C(Cl)C=C3)=CC=CC1
DJAHTVFQLSUHKT-UHFFFAOYNA-N,CHEMBL3262407,3362,A,5.42,chembl20,1349440,9606,HTR6,2105,C1(=CC(=CC=C1)N(CCCN2CCN(CC2)C=3C=CC=CC3)C)O
DJHAAKDZLZSXFT-UHFFFAOYNA-N,CHEMBL236772,3362,A,8.34,chembl20,659849,9606,HTR6,2105,C=1C=CC=2C(=CN(C3CNCCC3)C2N1)S(C4=CC=CC(=C4)C(F)(F)F)(=O)=O
DJLSZUUSOUQLPO-UHFFFAOYNA-N,CHEMBL1277656,3362,A,8.77,chembl20,684953,9606,HTR6,2105,O=S(C1=NN(C2=CC=C(C=C12)N3CCN(CC3)C)CC)(C4=C5C(=CC=C4)C=CC=C5)=O
DCCVQPUCAMNNAF-UHFFFAOYNA-N,CHEMBL98404,3362,A,8.1,chembl20,3664,9606,HTR6,2105,S(N1C2=C(C(CCCN(C)C)=CC=C2)C=C1)(=O)(=O)C3=CC=CC=C3
DCFQCUAMUNSALM-UHFFFAOYNA-N,CHEMBL3289981,3362,A,7.46,chembl20,1366806,9606,HTR6,2105,S(=O)(=O)(NCCCN1CCN(CC1)C2=NOC=3C2=CC=CC3)C=4SC5=C(C4)C=CC=C5
DCGVXRIATHGRTP-UHFFFAOYNA-N,52913104,3362,A,8.74473,pubchem,647060,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)C2=CC=3C=4C5NC(CC5)CC4N(C3C=C2)C)C=CC1
DCLULEWKNCWYMQ-UHFFFAOYNA-N,23655466,3362,A,7.52288,pubchem,303094,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)N2C=3C(C(=C2)CCN)=CC=CC3)C=CC1Cl
DCRNVIQIHXGGBH-UHFFFAOYNA-N,CHEMBL1950759,3362,A,8.32,chembl20,804508,9606,HTR6,2105,C1(S(C2=C(C=CC=C2)Cl)(=O)=O)=CC=C3C(=C1)C=4C5NC(CC4N3C)CC5
DCVQHBNYAZYIKB-UHFFFAOYNA-N,CHEMBL3289996,3362,A,7.32,chembl20,1366806,9606,HTR6,2105,S(=O)(=O)(NCCCCN1CCC(CC1)C2=NOC=3C2=CC=C(C3)F)C4=CC=C(C(=C4)Cl)F
DEQITUUQPICUMR-QUPJYNQLNA-N,CHEMBL1255837,3362,A,7.72,chembl20,774719,9606,HTR6,2105,C1=CC2=C3C(C[C@@H]4[C@@H](C3=C1)C[C@H](CN4C)C(N[C@@]5(C(C)C)C(=O)N6[C@@]([C@H]7N(C([C@@H]6CC8=CC=CC=C8)=O)CCC7)(O)O5)=O)=CN2
DERQCQDVQZMDRO-UHFFFAOYNA-N,CHEMBL1429795,3362,A,6.63,chembl20,740243,9606,HTR6,2105,S(=O)(=O)(C1=C2N(N=C1)C(=CC(=N2)C)C)C3=CC=CC=C3
DEZPWQOAHILRIP-UHFFFAOYNA-N,16222450,3362,A,8.08197,pubchem,700330,9606,HTR6,2105,S(=O)(=O)(N1C2=C(CC(N(C)C)CC2)C=3C1=CC=CC3)C4=CC=C(C=C4)C
DGZRDRVJWDVPCG-UHFFFAOYNA-N,53319627,3362,A,8.10018,pubchem,568359,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)C2=C3N(N=C2SC)C=CC(=N3)C)C=CC1F
DJYOQELQMOJWCC-DVIAZDKANA-N,CHEMBL1642878,3362,A,8.54,chembl20,699278,9606,HTR6,2105,O=S(=O)(C1=NNC2=C1C=C(C=C2)C(NCCN(C)C)=O)C=3C=4C(C=CC3)=CC=CC4
DKGZKTPJOSAWFA-LNNLXFCONA-N,CHEMBL267930,3362,A,5.8,chembl20,3664,9606,HTR6,2105,C12(N(CNC1=O)C=3C=CC=CC3)CCN(CC2)CCCC(C=4C=CC(=CC4)F)=O
DDQVUJBVMCTIEI-UHFFFAOYNA-N,54583109,3362,A,7.30103,pubchem,599884,9606,HTR6,2105,S(C1=CC=2N3C(CC2C=C1)CNCC3)C=4C=C(C=CC4)C
DDWVEJUFVBSWBZ-SFHVURJKNA-N,CHEMBL369910,3362,A,7.96,chembl20,322374,9606,HTR6,2105,S(C=1SC=2C=CC(=CC2C1C)Cl)(N3C=C(C[C@H]4N(CCC4)C)C=5C3=CC=CC5)(=O)=O
CSYABRYHFJNINH-PJQSKVNONA-N,53323440,3362,A,6.97062,pubchem,550750,9606,HTR6,2105,S(=O)(=O)(C1=NNC2=C1C=C(C(=O)NCCN3CCCCC3)C=C2)C=4C=5C(C=CC4)=CC=CC5
BLWHAZZXRHTFJE-UHFFFAOYNA-N,6918553,3362,A,8.52288,pubchem,6511,9606,HTR6,2105,BrC=1C(NS(=O)(=O)C2=CC(N3CCNCC3)=C(OC)C=C2)=CC(Br)=CC1F
BMFHZRZIYNLNCC-UHFFFAOYNA-N,CHEMBL2159456,3362,A,5.56,chembl20,855540,9606,HTR6,2105,O=S(=O)(NCC1CCN(CC1)CCOC2=CC=CC(=C2)F)C=3SC=CC3
BMJBTCPPCWVRKS-UHFFFAOYNA-N,49864722,3362,A,8.1549,pubchem,501445,9606,HTR6,2105,S(=O)(=O)(N(C=1C=C(N2CCN(CC2)C)C=CC1)C)C3=CC=4C(C=C3)=CC=CC4
BOWVPYNJPNKYGY-UHFFFAOYNA-N,CHEMBL326937,3362,A,9.22,chembl20,3617,9606,HTR6,2105,S(N1C=C(CCN(CC)CC)C=2C1=CC=C(OC)C2)(C3=CC=C(C=C3)N)(=O)=O
BPDIPISJQZBBJL-UHFFFAOYNA-N,CHEMBL2165524,3362,A,8.74,chembl20,861074,9606,HTR6,2105,O=S(=O)(N1C2=CC=C(C=C2C3=C1CCC(C3)N(C)C)Br)C4=CC=CC=C4
BPIIEZVZIXRCMW-UHFFFAOYNA-N,CHEMBL151998,3362,A,9.1,chembl20,3647,9606,HTR6,2105,S(N1C=2C(=C(Cl)C=C(C2)Cl)CCC1)(C=3C=C(N4CCNCC4)C(=CC3)OC)(=O)=O
BMZJECXQVMYAFJ-UHFFFAOYNA-N,CHEMBL372373,3362,A,6.6,chembl20,320876,9606,HTR6,2105,N1(S(=O)(=O)C2=CC=CC=C2)C3=C(CCNC3)C=4C1=CC=CC4
BNCWQIWEHFRYCU-UHFFFAOYNA-N,CHEMBL361873,3362,A,5.86,chembl20,308007,9606,HTR6,2105,C=1(S(=O)(=O)C2=CC=CC=C2)C=3C(=CC(C#N)=CC3)N(C1)CCN(C)C
BNEKZVNOMCFDII-UHFFFAOYNA-N,CHEMBL339913,3362,A,5.77,chembl20,3611,9606,HTR6,2105,N1(S(=O)(=O)C2=CC=CC=C2)C=C(CCN3CCOCC3)C4=C1C=CC(OC)=C4
BNWCQYXIEXHUHJ-UHFFFAOYNA-N,CHEMBL1085462,3362,A,10.2,chembl20,635521,9606,HTR6,2105,C=1C=CC(S(=O)(=O)C=2C=CC3=C(CCCC3CN(C)C)C2)=CC1
BOCKHYZDGOPDGR-LQFNOIFHNA-N,CHEMBL1173570,3362,A,5.98,chembl20,642499,9606,HTR6,2105,N=1C=2N(C3=C(C1NCCC4=CC=CC=C4)SC=C3)N=NC2S(C5=CC=C(C=C5)CC)(=O)=O
BOERTKKBWLOLLH-UHFFFAOYNA-N,CHEMBL3289994,3362,A,7.59,chembl20,1366806,9606,HTR6,2105,S(=O)(=O)(NCCCCN1CCC(CC1)C2=NOC=3C2=CC=C(C3)F)C4=CC=C(C(=C4)Cl)Cl
BOLNLVRWYZUGLA-HNNXBMFYNA-N,CHEMBL252774,3362,A,7.05,chembl20,461019,9606,HTR6,2105,C=1C=CC(NS(C2=CC=CC=C2)(=O)=O)=C3CC[C@H](N(C)C)CC13
BOLNLVRWYZUGLA-OAHLLOKONA-N,CHEMBL253826,3362,A,7.31,chembl20,461019,9606,HTR6,2105,C=1C=CC(NS(C2=CC=CC=C2)(=O)=O)=C3CC[C@@H](N(C)C)CC13
BJFLRBLSVACLLD-UHFFFAOYNA-N,CHEMBL2159483,3362,A,6.29,chembl20,855540,9606,HTR6,2105,C=1(C(=CC=C(C1)F)F)S(=O)(NC2CN(CC2)CCOC=3C=CC=CC3C4=CC=CC=C4)=O
